question,answer,tags
Gluconeogenesis,"The formation of glucose from noncarbohydrate sources (proteins and fats).","cpt|chapter 8|vocab|section 3"
Ketogenesis,"The formation of ketone bodies from nonfat sources, such as certain amino acids.","cpt|chapter 8|vocab|section 3"
Ketone bodies,"Water-soluble molecules produced in the liver as a result of fatty acid oxidation. They can then be oxidized in the mitochondria to produce adenosine triphosphate.","cpt|chapter 8|vocab|section 3"
Ketosis,"A state of carbohydrate depletion where the liver manufactures ketone bodies to meet energy demands that free fatty acid oxidation cannot support.","cpt|chapter 8|vocab|section 3"
Exogenous ketones,"Isolated ketone bodies usually consumed in supplement form.","cpt|chapter 8|vocab|section 3"
Insulin resistance,"The inability of the cells to respond to insulin; occurs in type 2 diabetes.","cpt|chapter 8|vocab|section 3"
Ketoacidosis,"Metabolic acidosis induced by very high levels of ketone bodies such as seen in type 1 diabetes or severe insulin resistance.","cpt|chapter 8|vocab|section 3"
Mechanical work,"The physical processes that move the body and keep it alive, such as muscle contraction.","cpt|chapter 8|vocab|section 3"
Adenosine diphosphate (ADP),"A high-energy compound occurring in all cells from which adenosine triphosphate is formed.","cpt|chapter 8|vocab|section 3"
Phosphorylation,"The addition of a phosphate group to a molecule, such as in the transfer of a phosphate group to adenosine diphosphate to create adenosine triphosphate.","cpt|chapter 8|vocab|section 3"
ATP-PC System,"An energy system that provides energy very rapidly, for approximately 10–15 seconds, via anaerobic metabolism.","cpt|chapter 8|vocab|section 3"
Anaerobic,"Processes relating to the absence of oxygen.","cpt|chapter 8|vocab|section 3"
Glycolysis,"A metabolic process that occurs in the cytosol of a cell that converts glucose into pyruvate and adenosine triphosphate. Anaerobic glycolysis refers to when this process occurs in the absence of oxygen.","cpt|chapter 8|vocab|section 3"
Oxidative phosphorylation,"A series of reactions inside the mitochondria that uses oxygen to produce adenosine triphosphate.","cpt|chapter 8|vocab|section 3"
Aerobic,"Processes relating to, involving, or requiring oxygen.","cpt|chapter 8|vocab|section 3"
Deamination,"The breakdown of amino acids into substrates that can be used for energy metabolism.","cpt|chapter 8|vocab|section 3"
Mitochondria,"The parts of the cell that use nutrients to create energy for the cell; commonly known as the powerhouses of the cell.","cpt|chapter 8|vocab|section 3"
Electron transport chain (ETC),"A series of protein complexes that transfer protons and electrons received from the citric acid cycle through a series of reactions to create adenosine triphosphate.","cpt|chapter 8|vocab|section 3"
Acetyl coenzyme A,"Produced by the breakdown of carbohydrates through glycolysis and by the fatty acids through beta-oxidation and is the precursor for these substrates to the citric acid cycle.","cpt|chapter 8|vocab|section 3"
Beta-oxidation,"The first step in the process to break down fats via oxidative phosphorylation.","cpt|chapter 8|vocab|section 3"
Steady-state aerobic exercise,"Aerobic exercise that remains at a relatively constant intensity, including a stable heart rate and oxygen consumption.","cpt|chapter 8|vocab|section 3"
Excess postexercise oxygen consumption (EPOC),"The state in which the body’s metabolism is elevated after exercise.","cpt|chapter 8|vocab|section 3"
Total daily energy expenditure (TDEE),"The total amount of energy expended in one day.","cpt|chapter 8|vocab|section 3"
Kilocalorie (kcal),"One food calorie. Also, the amount of energy needed to raise one kilogram of water by one degree Celsius.","cpt|chapter 8|vocab|section 3"
Resting metabolic rate (RMR),"The rate at which the body expends energy (calories) when fasted and at complete rest, such as asleep or lying quietly.","cpt|chapter 8|vocab|section 3"
Exercise activity thermogenesis (EAT),"The calories expended through structured exercise or training.","cpt|chapter 8|vocab|section 3"
Thermic effect of food (TEF),"The energy required to digest, absorb, and process nutrients that are consumed.","cpt|chapter 8|vocab|section 3"
Nonexercise activity thermogenesis (NEAT),"Energy expenditure through daily activities outside of structured exercise, such as walking, completing household chores, and taking the stairs.","cpt|chapter 8|vocab|section 3"
Physical activity level (PAL),"The number of calories a person expends through physical activity and structured exercise.","cpt|chapter 8|vocab|section 3"
Metabolic equivalent (MET),"A measurement used to describe the energy cost of physical activity as multiples of resting metabolic rate. One MET is 3.5 mL of oxygen consumption per kilogram per minute.","cpt|chapter 8|vocab|section 3"
