question,answer,tags
"If someone were performing repeated sprints with each sprint lasting between 30 and 90 seconds, which energy system would be contributing the most to ATP production during this activity?",Glycolysis,"cpt|chapter 8|section 3"
What is the only way that mass is lost when a person loses body weight?,As exhaled carbon dioxide,"cpt|chapter 8|section 3|quiz"
Why is nonexercise activity thermogenesis (NEAT) important?,NEAT can be protective against obesity.,"cpt|chapter 8|section 3|quiz"
What two factors define any form or type of exercise?,Intensity and duration,"cpt|chapter 8|section 3|quiz"
What are triglycerides?,The stored form of fat,"cpt|chapter 8|section 3|quiz"
Which energy system would provide most of the ATP for someone on a 5-mile jog?,Oxidative phosphorylation,"cpt|chapter 8|section 3|quiz"
Which of the following is a ketone body?,"Acetoacetic acid, BHB","cpt|chapter 8|section 3|quiz"
Food is composed of which three compounds?,"Carbohydrates, fats, and proteins","cpt|chapter 8|section 3|quiz"
What does the first law of thermodynamics state?,Energy can neither be created nor destroyed.,"cpt|chapter 8|section 3|quiz"
Which nutrient has the highest thermic effect?,Protien,"cpt|chapter 8|section 3|quiz"
What is defined as steady-state exercise?,Aerobic exercise performed at a constant intensity,"cpt|chapter 8|section 3|quiz"
What is the process called when ADP is converted to ATP?,Phosphorylation,"cpt|chapter 8|section 3|quiz"
"Before carbohydrates, fat, or protein can enter the citric acid cycle (CAC), they need to be converted to what common molecule?",Acetyl CoA,"cpt|chapter 8|section 3|quiz"
What does the electron transport chain (ETC) do?,The ETC uses a hydrogen gradient to create ATP.,"cpt|chapter 8|section 3|quiz"
What is the ventilatory threshold 1 (VT1)?,The point at which the body switches to using carbohydrates to provide at least half the fuel for exercise,"cpt|chapter 8|section 3|quiz"
What is a kilocalorie (kcal)?,The amount of energy needed to raise 1 kilogram of water by 1 degree Celsius. It is also the same thing as 1 food calorie.,"cpt|chapter 8|section 3|quiz"
Which of the following is a limiting factor for how long anaerobic glycolysis can proceed?,Free hydrogen ions,"cpt|chapter 8|section 3|quiz"
What is excess postexercise oxygen consumption (EPOC)?,EPOC is the increase in aerobic metabolism above baseline that occurs for a period after exercise.,"cpt|chapter 8|section 3|quiz"
What would make a person better at oxidizing fat?,Having more mitochondria in their muscle,"cpt|chapter 8|section 3|quiz"
Which energy system would occur during intermittent exercise?,All three energy systems would be used at some point during the activity.,"cpt|chapter 8|section 3|quiz"
What are essential amino acids?,Amino acids that must be consumed because they cannot be created by the body,"cpt|chapter 8|section 3|quiz"
What process do amino acids have to go through before they can be used to make ATP?,Gluconeogenesis,"cpt|chapter 8|section 3|quiz"
What will happen to pyruvate if it is being created via glycolysis faster than oxygen can be delivered to the muscle?,The pyruvate will be converted to lactate.,"cpt|chapter 8|section 3|quiz"
What is the name of the stored form of glucose?,Glycogen,"cpt|chapter 8|section 3|quiz"
What is the definition of energy balance?,When daily food intake is matched to energy needs,"cpt|chapter 8|section 3|quiz"
Which of the following conditions would produce nutritional ketosis in the body?,A very low-carbohydrate diet,"cpt|chapter 8|section 3|quiz"
"A client plans to go for a 10-mile run, but they become fatigued after 7 miles, so they stop. What is the most likely cause of this fatigue?",Glycogen stores were exhausted.,"cpt|chapter 8|section 3|quiz"
Which of the following components of total daily energy expenditure (TDEE) is responsible for the most energy expenditure throughout the day?,Resting metabolic rate (RMR),"cpt|chapter 8|section 3|quiz"
What is bioenergetics?,The study of the ways in which food is turned into energy,"cpt|chapter 8|section 3|quiz"
A client who is training with you to improve his body composition states that he only sleeps 4 or 5 hours a night because he thinks that any more is a waste of time. How might you respond to him in view of his body composition goals?,"Explain that adequate sleep is important in regulating hunger and satiety hormones, and that chronic sleep deprivation is detrimental for weight management.","cpt|chapter 9|section 3|quiz"
"Apart from energy intake and physical activity, which of the following factors also influence weight management?",Hormones and medications,"cpt|chapter 9|section 3|quiz"
What are the three categories within the lipid family?,"Triglycerides, phospholipids, and sterols"
What is the optimal amount of protein per meal for muscle protein synthesis?,20 to 40 g
"According to current research, what is the optimal range of daily protein intake to maximize muscle protein synthesis?",1.6 to 2.2 g/kg of body weight
Which of the macronutrients has the highest thermic effect of food (TEF)?,Protien
Which of the following vitamins or groups of vitamins plays a key role in energy metabolism?,B Vitamins
What is adaptive thermogenesis?,Metabolic adaptations and changes in energy expenditure due to changes in energy intake
Accumulating too much of a vitamin or mineral in the body may lead to what?,Toxicity,"cpt|chapter 10|section 3|quiz"
Which of the following is true about the biologically active forms of vitamins?,Biologically active forms are most effective for augmenting body levels.,"cpt|chapter 10|section 3|quiz"
The water-soluble vitamins include which vitamins?,Vitamin C and the B complex vitamins,"cpt|chapter 10|section 3|quiz"
Which of the following is true of protein shakes?,They are convenient options for increasing protein intake.,"cpt|chapter 10|section 3|quiz"
What is the best definition of essential when discussing human nutrition?,"Must be obtained in the diet, as the body is incapable of producing the nutrient on its own","cpt|chapter 10|section 3|quiz"
Which two electrolytes are most commonly supplemented by athletes to replace those lost in sweat?,Sodium and potassium,"cpt|chapter 10|section 3|quiz"
What is a major nutritional contributor to muscle protein synthesis?,The essential amino acids,"cpt|chapter 10|section 3|quiz"
What percentage of alpha-linolenic acid (ALA) converts to a biologically available form called eicosapentaenoic acid (EPA)?,About 5-15%,"cpt|chapter 10|section 3|quiz"
Which governmental agency regulates dietary supplements in Australia?,Therapeutic Goods Administration (TGA),"cpt|chapter 10|section 3|quiz"
The B vitamins have a primary role in what?,Macronutrient metabolism,"cpt|chapter 10|section 3|quiz"
