question,answer,tags
Sports drink,"Drink with a combination of carbohydrate and/or electrolytes used for rehydration and carbohydrate replenishment during physical activity; may be isotonic, hypotonic, or hypertonic.","cpt|chapter 9"

Electrolytes,"Minerals that have an electrical charge to help transmit nerve impulses throughout the body, such as sodium, potassium, and chloride.","cpt|chapter 9"
Hypotonic,"A solution with a lower solute load/concentration than body fluids.","cpt|chapter 9"
Isotonic,"A solution with a similar solute load/concentration as body fluids.","cpt|chapter 9"
Hypertonic,"A solution with a higher solute load/concentration than body fluids.","cpt|chapter 9"
Basal metabolic rate (BMR),"The amount of energy required to maintain the body at rest.","cpt|chapter 9"
Endocrine (hormonal) disorders,"When the body produces too little or too much of an endocrine hormone.","cpt|chapter 9"
First law of thermodynamics,"Energy cannot be created or destroyed but merely converted from one form to another.","cpt|chapter 9"
Added sugars,"Sugars that are not naturally found in food but have been added to a food product.","cpt|chapter 9"
Satiating,"Satisfying; feeling of fullness.","cpt|chapter 9"
Total daily energy expenditure (TDEE),"The total amount of energy expended in one day.","cpt|chapter 9"
Peptide YY,"Called peptide tyrosine and is a peptide that is released in the colon during feeding.","cpt|chapter 9"
Ghrelin,"The hunger hormone that stimulates appetite.","cpt|chapter 9"
Hypothyroidism,"Low activity of the thyroid gland that can disrupt heart rate, body temperature, and metabolism.","cpt|chapter 9"
Cushing’s syndrome,"A hormone disorder that causes abnormally high levels of cortisol in the body.","cpt|chapter 9"
Polycystic ovarian syndrome (PCOS),"A hormone disorder that occurs in women of childbearing age that causes irregular periods, excess levels of the male hormone androgen, small cysts on the outer edges of the ovaries, and obesity.","cpt|chapter 9"
Nonexercise activity thermogenesis (NEAT),"Energy expenditure through daily activities outside of structured exercise, such as walking, completing household chores, and taking the stairs.","cpt|chapter 9"
Exercise activity thermogenesis (EAT),"The calories expended through structured exercise or training.","cpt|chapter 9"
Adaptive thermogenesis,"Metabolic adaptations and changes in energy expenditure as a result of changes in energy intake.","cpt|chapter 9"
Ingredients list,"A list of all included ingredients in a food product, in descending order of amount by weight, on a food label.","cpt|chapter 9"
Nutrition facts panel,"Label on food products that provides information on the nutrient content of the food. Lists servings per container, serving size, and the amount of specific nutrients.","cpt|chapter 9"
Serving size,"A reference amount based on the quantity of the product consumers are thought to typically consume at one sitting.","cpt|chapter 9"
Percent daily value (%DV),"A reference value on the nutrition label that indicates what percentage of the recommended daily value for a nutrient is met by the specified serving size of a food product, based on a 2,000-calorie diet.","cpt|chapter 9"
Percent reference intake (% RI),"Used on food labels in the United Kingdom and the European Union. It is a reference value that indicates what percentage of the recommend amount of a nutrient is met by the specified amount (100 g or 100 mL) of the food product.","cpt|chapter 9"
Hypertrophy,"Enlargement of an organ or tissue; in the context of fitness, it is often used to describe the enlargement of skeletal muscle.","cpt|chapter 9"

