question,answer,tags
Insulin,"A hormone secreted by the pancreas that is responsible for glucose metabolism.","cpt|chapter 6|vocab|section 3"
Glucagon,"A hormone secreted by the pancreas that regulates blood glucose and functions opposite to insulin.","cpt|chapter 6|vocab|section 3"
Substrates,"Intermediate forms of nutrients used in metabolic reactions to create adenosine triphosphate.","cpt|chapter 6|vocab|section 3"
Glycogen,"Glucose that is deposited and stored in bodily tissues, such as the liver and muscle cells; the storage form of carbohydrate.","cpt|chapter 6|vocab|section 3"
Growth hormone,"An anabolic hormone produced by the pituitary gland that is responsible for growth and development.","cpt|chapter 6|vocab|section 3"
Catecholamines,"Hormones produced by the adrenal glands that are part of the stress response known as the fight-or-flight response.","cpt|chapter 6|vocab|section 3"
Catabolic,"Metabolic process that breaks down molecules into smaller units used for energy.","cpt|chapter 6|vocab|section 3"
Gluconeogenesis,"The formation of glucose from noncarbohydrate sources (proteins and fats).","cpt|chapter 6|vocab|section 3"
Overtraining,"Excessive frequency, volume, or intensity of training, resulting in reduction of performance, which is also caused by a lack of proper rest and recovery.","cpt|chapter 6|vocab|section 3"
Testosterone,"A hormone producing secondary male sex characteristics.","cpt|chapter 6|vocab|section 3"
Anabolic,"Metabolic process that synthesizes smaller molecules into larger units used for building and repairing tissues.","cpt|chapter 6|vocab|section 3"
Insulin-like growth factors (IGF),"Anabolic hormone produced by the liver, which is responsible for growth and development.","cpt|chapter 6|vocab|section 3"
Basal metabolic rate (BMR),"The amount of energy required to maintain the body at rest.","cpt|chapter 6|vocab|section 3"
Calcitonin,"Thyroid hormone that helps the body use calcium properly to aid with maintaining bone mineral density.","cpt|chapter 6|vocab|section 3"
Glucose intolerance,"A condition that results in elevated blood glucose levels.","cpt|chapter 6|vocab|section 3"
Respiratory system,"A bodily system, also known as the pulmonary system, that brings oxygen into the lungs from breathed air while removing carbon dioxide from the lungs into the outside air; includes airways, lungs, and the respiratory muscles.","cpt|chapter 6|vocab|section 3"
Respiratory pump,"Composed of skeletal structures (bones) and soft tissues (muscles) that work together to allow for proper respiratory mechanics as well as pumping blood back to the heart during inspiration.","cpt|chapter 6|vocab|section 3"
Inspiration,"The process of contracting the inspiratory muscles to move air into the body.","cpt|chapter 6|vocab|section 3"
Expiration,"The process of actively or passively relaxing the inspiratory muscles to move air out of the body.","cpt|chapter 6|vocab|section 3"
Valsalva maneuver,"A process that involves expiring against a closed windpipe, creating additional intra-abdominal pressure and spinal stability.","cpt|chapter 6|vocab|section 3"
Diffusion,"The process of getting oxygen from the environment to the tissues of the body.","cpt|chapter 6|vocab|section 3"
Tachypnea,"Respiratory rate that is too fast; greater than 24 breaths per minute.","cpt|chapter 6|vocab|section 3"
Bradypnea,"Respiratory rate that is too slow; fewer than 8 breaths per minute.","cpt|chapter 6|vocab|section 3"
Dyspnea,"Shortness of breath or labored breathing.","cpt|chapter 6|vocab|section 3"
Diaphragmatic breathing,"Breathing deeply by allowing the expansion of the abdominal area.","cpt|chapter 6|vocab|section 3"
Cardiorespiratory system,"A system of the body composed of the heart, blood, blood vessels, lungs, and airways.","cpt|chapter 6|vocab|section 3"
Cardiovascular system,"A system of the body, also known as the circulatory system, that transports blood to tissues of the body.","cpt|chapter 6|vocab|section 3"
Thoracic cavity,"Chamber within the chest that contains the heart and lungs.","cpt|chapter 6|vocab|section 3"
Mediastinum,"The space in the chest between the lungs that contains all the internal organs of the chest (e.g., heart, esophagus) except the lungs.","cpt|chapter 6|vocab|section 3"
Cardiac muscle,"Muscle of the heart.","cpt|chapter 6|vocab|section 3"
Skeletal muscle,"The type of muscle tissue that connects to bones and generates the forces that create movement.","cpt|chapter 6|vocab|section 3"
Smooth muscle,"An involuntary nonstriated muscle type that is found in organs.","cpt|chapter 6|vocab|section 3"
Myofibrils,"The contractile components of a muscle cell; the myofilaments (actin and myosin) are contained within a myofibril.","cpt|chapter 6|vocab|section 3"
Sarcomere,"The structural unit of a myofibril, composed of actin and myosin filaments between two Z-lines.","cpt|chapter 6|vocab|section 3"
Atrium (atria),"Superior chamber(s) of the heart that gathers blood returning to the heart.","cpt|chapter 6|vocab|section 3"
Ventricle,"Inferior chamber of the heart that pumps blood to the lungs and body.","cpt|chapter 6|vocab|section 3"
Intercalated discs,"Found in the heart, these formations help hold together muscle cells.","cpt|chapter 6|vocab|section 3"
Resting heart rate (RHR),"The number of heart beats per minute while at complete rest.","cpt|chapter 6|vocab|section 3"
Sinoatrial (SA) node,"Located in the right atrium, this node initiates an electrical signal that causes the heart to beat.","cpt|chapter 6|vocab|section 3"
Atrioventricular (AV) node,"Located between the atria and ventricles, this node delays the impulse from the sinoatrial node before allowing it to pass to the ventricles.","cpt|chapter 6|vocab|section 3"
Stroke volume,"The amount of blood pumped out of the heart with each contraction.","cpt|chapter 6|vocab|section 3"
End-diastolic volume,"The filled volume of the ventricle before contraction.","cpt|chapter 6|vocab|section 3"
End-systolic volume,"The volume of blood remaining in the ventricle after ejection.","cpt|chapter 6|vocab|section 3"
Heart rate (HR),"The measurement of the number of times a heart beats within a specified time period (usually 1 minute).","cpt|chapter 6|vocab|section 3"
Bradycardia,"When the heart rate is less than 60 beats per minute.","cpt|chapter 6|vocab|section 3"
Tachycardia,"When the heart rate is greater than 100 beats per minute.","cpt|chapter 6|vocab|section 3"
Cardiac output (Q),"The overall performance of the heart (heart rate × stroke volume).","cpt|chapter 6|vocab|section 3"
Blood,"Fluid that circulates in the heart, arteries, capillaries, and veins; it carries nutrients and oxygen to all parts of the body and also transports waste products from the body to other compartments or organs for either processing (e.g., liver) or excretion (e.g., kidney).","cpt|chapter 6|vocab|section 3"
Growth factors,"Substances within the blood that attach to cells, aid in growth and development, and help with healing after injury","cpt|chapter 6|vocab|section 3"
Stem cells,"Cells within the body that divide and develop into specialized cells, such as brain cells, blood cells, heart cells, and bone cells.","cpt|chapter 6|vocab|section 3"
Blood vessels,"Network of hollow tubes that circulates blood throughout the body.","cpt|chapter 6|vocab|section 3"
Arteries,"Vessels that transport blood away from the heart.","cpt|chapter 6|vocab|section 3"
Capillaries,"The smallest blood vessels and the site of exchange of elements between the blood and the tissues.","cpt|chapter 6|vocab|section 3"
Veins,"Vessels that transport blood back to the heart.","cpt|chapter 6|vocab|section 3"
Arterioles,"Small arteries that eventually divide into capillaries.","cpt|chapter 6|vocab|section 3"
Venules,"Small veins that allows blood to drain from capillaries into the larger veins.","cpt|chapter 6|vocab|section 3"
Vasculogenesis,"The formation of new capillaries.","cpt|chapter 6|vocab|section 3"
Angiogenesis,"The formation of new capillaries from existing blood vessels.","cpt|chapter 6|vocab|section 3"
Venous pooling,"The accumulation of blood into the extremities due to slow blood flow though the veins (venous return) or backflow.","cpt|chapter 6|vocab|section 3"
Blood pressure (BP),"The outward pressure exerted by the blood on the vessel walls; reported as systolic/ diastolic.","cpt|chapter 6|vocab|section 3"
Peripheral resistance,"The amount of resistance in the arteries that must be overcome for blood to flow.","cpt|chapter 6|vocab|section 3"
Hypertension,"Consistently elevated blood pressure.","cpt|chapter 6|vocab|section 3"
