question,answer,tags
Parasympathetic nervous system,"Subdivision of the autonomic nervous system that works to decrease neural activity and put the body in a more relaxed state.","cpt|chapter 5|nervous|vocab|section 3"
Sensory function,"Ability of the nervous system to sense changes in either the internal or external environment.","cpt|chapter 5|nervous|vocab|section 3"
Proprioception,"The body’s ability to naturally sense its general orientation and relative position of its parts.","cpt|chapter 5|nervous|vocab|section 3"
Integrative function,"The ability of the nervous system to analyze and interpret the sensory information to allow for proper decision-making, which produces an appropriate response.","cpt|chapter 5|nervous|vocab|section 3"
Motor function,"The neuromuscular (or nervous and muscular systems) response to the integrated sensory information.","cpt|chapter 5|nervous|vocab|section 3"
Muscle spindles,"Sensory receptors sensitive to change in length of the muscle and the rate of that change.","cpt|chapter 5|nervous|vocab|section 3"
Stretch reﬂex,"Neurological signal from the muscle spindle that causes a muscle to contract to prevent excessive lengthening.","cpt|chapter 5|nervous|vocab|section 3"
Golgi tendon organ (GTO),"A specialized sensory receptor located at the point where skeletal muscle fibers insert into the tendons of skeletal muscle; sensitive to changes in muscular tension and rate of tension change.","cpt|chapter 5|nervous|vocab|section 3"
Joint receptors,"Receptors located in and around the joint capsule that respond to pressure, acceleration, and deceleration of the joint.","cpt|chapter 5|nervous|vocab|section 3"
Neuroplasticity,"The concept that the brain will continually change or grow, reforming neural pathways throughout an individual’s entire life span.","cpt|chapter 5|nervous|vocab|section 3"
Neurocircuitry,"The interconnection of neurons in the brain and spinal cord.","cpt|chapter 5|nervous|vocab|section 3"
Motor skills,"Specific movements through the coordinated effort of the sensory and motor subsystems.","cpt|chapter 5|nervous|vocab|section 3"
Skeletal system,"A description of the bones of the body.","cpt|chapter 5|skeletal|vocab|section 3"
Osteoporosis,"A condition of reduced bone mineral density, which increases risk of bone fracture.","cpt|chapter 5|skeletal|vocab|section 3"
Joints,"The sites where two bones meet and movement occurs as a result of muscle contraction.","cpt|chapter 5|skeletal|vocab|section 3"
Axial skeleton,"A division of the skeletal system consisting of the skull, the rib cage, and the vertebral column.","cpt|chapter 5|skeletal|vocab|section 3"
Appendicular skeleton,"A division of the skeletal system consisting of the arms, legs, and pelvic girdle.","cpt|chapter 5|skeletal|vocab|section 3"
Levers,"Rigid rods where muscles attach.","cpt|chapter 5|skeletal|vocab|section 3"
Remodeling,"The process by which bone is constantly renewed by the resorption and formation of the bone structure.","cpt|chapter 5|skeletal|vocab|section 3"
Osteoclasts,"Special cells that break down and remove old bone tissue.","cpt|chapter 5|skeletal|vocab|section 3"
Osteoblasts,"Special cells that form and lay down new bone tissue.","cpt|chapter 5|skeletal|vocab|section 3"
"Wolff’s law","Scientific explanation of how remodeling (new bone growth) occurs along the lines of stress placed on the bone.","cpt|chapter 5|skeletal|vocab|section 3"
Bone Types,"Long: Humerus, femur. Short carparks and tarsals. Flat: scapulae, sternum, pelvis, etc. Irregular: vertebrae, sacrum, coccyx . Sesamoid: patella","cpt|chapter 5|skeletal|vocab|section 3"
Depressions,"Flattened or indented portions of bone. Fossa and sulcus","cpt|chapter 5|skeletal|vocab|section 3"
Processes,"Projections protruding from the bone where tendons and ligaments can attach. process, condyle, epicondyle, tubercle, and trochanter","cpt|chapter 5|skeletal|vocab|section 3"
Vertebral column,"Bones that house the spinal cord; consists of the cervical, thoracic, and lumbosacral regions.","cpt|chapter 5|skeletal|vocab|section 3"
Spinal cord,"Bundle of nerves housed within the vertebrae.","cpt|chapter 5|skeletal|vocab|section 3"
Intervertebral discs,"Fibrous cartilage structures between vertebrae that act as shock absorbers and assist with movement.","cpt|chapter 5|skeletal|vocab|section 3"
Neutral Spine,"Represents a position in which the vertebrae and associated structures are under the least amount of load and can most optimally support functional movement.","cpt|chapter 5|skeletal|vocab|section 3"
Osteokinematics,"Movement of a limb that is visible.","cpt|chapter 5|skeletal|vocab|section 3"
Arthrokinematics,"The description of joint surface movement; consists of three major types: roll, slide, and spin.","cpt|chapter 5|skeletal|vocab|section 3"
Synovial joints,"A joint with a fluid-filled joint capsule. Most common associated with movement","cpt|chapter 5|skeletal|vocab|section 3"
Nonaxial,"A gliding joint that moves in only one plane, either back and forth or side to side","cpt|chapter 5|skeletal|vocab|section 3"
Nonsynovial joints,"Joints that have no joint capsule, fibrous connective tissue, or cartilage in the uniting structure. Skull","cpt|chapter 5|skeletal|vocab|section 3"
Ligament,"A fibrous connective tissue that connects bone to bone.","cpt|chapter 5|skeletal|vocab|section 3"
Collagen,"A protein found in connective tissue, muscles, and skin that provides strength and structure. It is the most abundant protein in the human body.  Situated in parallel fashion to typical joint forces","cpt|chapter 5|skeletal|vocab|section 3"
Elastin,"A protein that provides elasticity to skin, tendons, ligaments, and other structures.","cpt|chapter 5|skeletal|vocab|section 3"
Growth plate,"A specialized cartilage disc located in the epiphysis that is responsible for longitudinal bone growth.","cpt|chapter 5|skeletal|vocab|section 3"
Skeletal muscle,"The type of muscle tissue that connects to bones and generates the forces that create movement.","cpt|chapter 5|muscular|vocab|section 3"
Fascia,"Connective tissue that surrounds muscles and bones.","cpt|chapter 5|muscular|vocab|section 3"
Epimysium,"Inner layer of fascia that directly surrounds an entire muscle, commonly referred to as the “deep fascia.”","cpt|chapter 5|muscular|vocab|section 3"
Fascicles,"Largest bundles of fibers within a muscle. Fascicles are surrounded by perimysium.","cpt|chapter 5|muscular|vocab|section 3"
Perimysium,"Connective tissue surrounding a muscle fascicle.","cpt|chapter 5|muscular|vocab|section 3"
Endomysium,"Connective tissue that wraps around individual muscle fibers within a fascicle.","cpt|chapter 5|muscular|vocab|section 3"
Glycogen,"Glucose that is deposited and stored in bodily tissues, such as the liver and muscle cells; the storage form of carbohydrate.","cpt|chapter 5|muscular|vocab|section 3"
Myoglobin,"Protein-based molecule that carries oxygen molecules into the muscles.","cpt|chapter 5|muscular|vocab|section 3"
Myofibrils,"The contractile components of a muscle cell; the myofilaments (actin and myosin) are contained within a myofibril.","cpt|chapter 5|muscular|vocab|section 3"
Myofilaments,"The filaments of a myofibril; include actin and myosin.","cpt|chapter 5|muscular|vocab|section 3"
Actin,"The thin, stringlike, myofilament that acts along with myosin to produce muscular contraction.","cpt|chapter 5|muscular|vocab|section 3"
Myosin,"The thick myofilament that acts along with actin to produce muscular contraction.","cpt|chapter 5|muscular|vocab|section 3"
Sarcomere,"The structural unit of a myofibril composed of actin and myosin filaments between two Z-lines.","cpt|chapter 5|muscular|vocab|section 3"
Z-line,"The meeting point of each sarcomere.","cpt|chapter 5|muscular|vocab|section 3"
Neural activation,"The nervous system’s signal that tells a muscle to contract.","cpt|chapter 5|muscular|vocab|section 3"
Neuromuscular junction,"The specialized site where the nervous system communicates directly with muscle fibers.","cpt|chapter 5|muscular|vocab|section 3"
Synapse,"A junction or small gap between the motor neuron and muscle cells.","cpt|chapter 5|muscular|vocab|section 3"
Motor unit,"A motor neuron and all of the muscle fibers that it innervates.","cpt|chapter 5|muscular|vocab|section 3"
Action potential,"Nerve impulse that is relayed from the central nervous system, through the peripheral nervous system, and into the muscle across the neuromuscular junction.","cpt|chapter 5|muscular|vocab|section 3"
Neurotransmitters,"Chemical messengers that cross the synapse between neuron and muscle and assist with nerve transmission.","cpt|chapter 5|muscular|vocab|section 3"
Acetylcholine (ACh),"A neurotransmitter that helps the action potential cross the synapse into the muscle, which initiates the steps in a muscle contraction.","cpt|chapter 5|muscular|vocab|section 3"
Sliding ﬁlament theory,"The series of steps in muscle contraction involving how myosin (thick) and actin (thin) filaments slide past one another to produce a muscle contraction, shortening the entire length of the sarcomere.","cpt|chapter 5|muscular|vocab|section 3"
Excitation-contraction coupling,"The physiological process of converting an electrical stimulus to a muscle contraction.","cpt|chapter 5|muscular|vocab|section 3"
Power stroke,"The myosin heads bind to actin and pull them toward the sarcomere center, which slides the filaments past each other, shortening the muscle.","cpt|chapter 5|muscular|vocab|section 3"
Adenosine triphosphate (ATP),"A high-energy molecule that serves as the main form of energy in the human body; known as the energy currency of the body.","cpt|chapter 5|muscular|vocab|section 3"
Resting length,"The length of a muscle when it is not actively contracting or being stretched.","cpt|chapter 5|muscular|vocab|section 3"
Type I muscle ﬁbers,"Slow Twitch, Muscle fibers that are small in size, generate lower amounts of force, and are more resistant to fatigue.","cpt|chapter 5|muscular|vocab|section 3"
Type II muscle ﬁbers,"Fast Twitch, Muscle fibers that are larger in size, generate higher amounts of force, and are faster to fatigue.","cpt|chapter 5|muscular|vocab|section 3"
All-or-nothing principle,"Motor units cannot vary the amount of force they generate; they either contract maximally or not at all.","cpt|chapter 5|muscular|vocab|section 3"
Capillaries,"The smallest blood vessels and the site of exchange of elements between the blood and the tissues.Skeletal muscle,The type of muscle tissue that connects to bones and generates the forces that create movement.","cpt|chapter 5|muscular|vocab|section 3"
Fascia,"Connective tissue that surrounds muscles and bones.","cpt|chapter 5|muscular|vocab|section 3"
Epimysium,"Inner layer of fascia that directly surrounds an entire muscle, commonly referred to as the “deep fascia.”","cpt|chapter 5|muscular|vocab|section 3"
Fascicles,"Largest bundles of fibers within a muscle. Fascicles are surrounded by perimysium.","cpt|chapter 5|muscular|vocab|section 3"
Perimysium,"Connective tissue surrounding a muscle fascicle.","cpt|chapter 5|muscular|vocab|section 3"
Endomysium,"Connective tissue that wraps around individual muscle fibers within a fascicle.","cpt|chapter 5|muscular|vocab|section 3"
Glycogen,"Glucose that is deposited and stored in bodily tissues, such as the liver and muscle cells; the storage form of carbohydrate.","cpt|chapter 5|muscular|vocab|section 3"
Myoglobin,"Protein-based molecule that carries oxygen molecules into the muscles.","cpt|chapter 5|muscular|vocab|section 3"
Myofibrils,"The contractile components of a muscle cell; the myofilaments (actin and myosin) are contained within a myofibril.","cpt|chapter 5|muscular|vocab|section 3"
Myofilaments,"The filaments of a myofibril; include actin and myosin.","cpt|chapter 5|muscular|vocab|section 3"
Actin,"The thin, stringlike, myofilament that acts along with myosin to produce muscular contraction.","cpt|chapter 5|muscular|vocab|section 3"
Myosin,"The thick myofilament that acts along with actin to produce muscular contraction.","cpt|chapter 5|muscular|vocab|section 3"
Sarcomere,"The structural unit of a myofibril composed of actin and myosin filaments between two Z-lines.","cpt|chapter 5|muscular|vocab|section 3"
Z-line,"The meeting point of each sarcomere.","cpt|chapter 5|muscular|vocab|section 3"
Neural activation,"The nervous system’s signal that tells a muscle to contract.","cpt|chapter 5|muscular|vocab|section 3"
Neuromuscular junction,"The specialized site where the nervous system communicates directly with muscle fibers.","cpt|chapter 5|muscular|vocab|section 3"
Synapse,"A junction or small gap between the motor neuron and muscle cells.","cpt|chapter 5|muscular|vocab|section 3"
Motor unit,"A motor neuron and all of the muscle fibers that it innervates.","cpt|chapter 5|muscular|vocab|section 3"
Action potential,"Nerve impulse that is relayed from the central nervous system, through the peripheral nervous system, and into the muscle across the neuromuscular junction.","cpt|chapter 5|muscular|vocab|section 3"
Neurotransmitters,"Chemical messengers that cross the synapse between neuron and muscle and assist with nerve transmission.","cpt|chapter 5|muscular|vocab|section 3"
Acetylcholine (ACh),"A neurotransmitter that helps the action potential cross the synapse into the muscle, which initiates the steps in a muscle contraction.","cpt|chapter 5|muscular|vocab|section 3"
Sliding ﬁlament theory,"The series of steps in muscle contraction involving how myosin (thick) and actin (thin) filaments slide past one another to produce a muscle contraction, shortening the entire length of the sarcomere.","cpt|chapter 5|muscular|vocab|section 3"
Excitation-contraction coupling,"The physiological process of converting an electrical stimulus to a muscle contraction.","cpt|chapter 5|muscular|vocab|section 3"
Power stroke,"The myosin heads bind to actin and pull them toward the sarcomere center, which slides the filaments past each other, shortening the muscle.","cpt|chapter 5|muscular|vocab|section 3"
Adenosine triphosphate (ATP),"A high-energy molecule that serves as the main form of energy in the human body; known as the energy currency of the body.","cpt|chapter 5|muscular|vocab|section 3"
Resting length,"The length of a muscle when it is not actively contracting or being stretched.","cpt|chapter 5|muscular|vocab|section 3"
Type I muscle ﬁbers,"Slow Twitch, Muscle fibers that are small in size, generate lower amounts of force, and are more resistant to fatigue.","cpt|chapter 5|muscular|vocab|section 3"
Type II muscle ﬁbers,"Fast Twitch, Muscle fibers that are larger in size, generate higher amounts of force, and are faster to fatigue.","cpt|chapter 5|muscular|vocab|section 3"
All-or-nothing principle,"Motor units cannot vary the amount of force they generate; they either contract maximally or not at all.","cpt|chapter 5|muscular|vocab|section 3"
Capillaries,"The smallest blood vessels and the site of exchange of elements between the blood and the tissues.","cpt|chapter 5|muscular|vocab|section 3"
