source,topic,question,answer,type,cert
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Glucose,The simplest form of carbohydrate used by the body for energy.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Heart attack,The action that occurs when an artery supplying the heart with blood and oxygen becomes blocked; medically known as a myocardial infarction.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Heart failure,A condition in which the heart can’t pump enough blood to meet the body’s needs.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Heart valve problem,"A condition that occurs when one or more heart valves do not function properly, causing shortness of breath and reduced oxygen supply to the body.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Homeostasis,The process by which the human body strives to maintain a relatively stable equilibrium.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Hypertension,Consistently elevated blood pressure.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Insulin resistance,The inability of the cells to respond to insulin; occurs in type 2 diabetes.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Ischemic heart disease,"A category of heart-related problems caused by the narrowing of coronary arteries, which supply blood and oxygen to the heart muscle.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Joint stability,The support provided by tissues surrounding a joint to maintain and provide control during movement.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Kinesiology,Study of movement as it relates to anatomy and physiology.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Medial collateral ligament (MCL) tear,"A stretch, partial tear, or complete tear of the medial collateral ligament of the knee.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Morbidity,The state of having a disease.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Mortality,A state or a risk of death or dying.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Musculoskeletal system,"The combined, interworking system of all muscles and bones in the body.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Obesity,A complex disease involving an excessive amount of body fat; classified by a body mass index of 30 or greater.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Overweight,A body weight greater than what is considered within normal standards; a body mass index of 25.0 to 29.9.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Patellar tendonitis,An injury or inflammation of the tendon that connects the patella (kneecap) to the tibia (shin bone).,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Physical activity,"Bodily movement that results in energy expenditure and encompasses many modes and intensities. Movement that is not structured exercise such as recreational pursuits (e.g., golfing, gardening, and walking a dog).",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Plantar fasciitis,"An inflammation of the fibrous tissue (plantar fascia) along the bottom of the foot, which often results in intense heel pain.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Risk factor,"Any attribute, characteristic, or exposure of an individual that increases the likelihood of developing a disease or injury.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Shoulder impingement syndrome,Shoulder pain caused by rotator cuff tissues rubbing against the acromion bone of the shoulder.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Skeletal muscle,The type of muscle tissue that connects to bones and generates the forces that create movement.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Socioeconomic status,"The social standing of a person or group that includes education, income, and occupation.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Sprain,A stretching or tearing of ligaments.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Stroke,"A sudden lack of blood supply to the brain, caused by either a blockage in an artery or ruptured blood vessel.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Systolic blood pressure (SBP),The pressure in arteries and other blood vessels when the heart is contracting; the first (top) number recorded.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 02,The Personal Training Profession,Adherence,The level of commitment to a behavior or plan of action.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 02,The Personal Training Profession,Brand,"A product or service identified by specific, unique characteristics.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 02,The Personal Training Profession,Forecasting,A business management technique that helps predict how much work is needed to meet a revenue goal.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 02,The Personal Training Profession,High-intensity interval training (HIIT),An exercise training method defined by intervals of near-maximal intensity broken up by relatively short rest periods.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 02,The Personal Training Profession,Open-ended questions,Nondirective questions that can’t be answered with a simple yes or no answer; they require critical thinking to formulate a response.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 02,The Personal Training Profession,Operational costs,The various monetary requirements associated with the day-to-day running of a business.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 02,The Personal Training Profession,Prospect,An individual who has been identified as a potential client.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 02,The Personal Training Profession,Rapport,"A relationship in which two people understand each other’s ideas, have respect for one another, and communicate well.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 02,The Personal Training Profession,Sales process,A system for learning about the needs of a potential client to be able to identify and present a number of solutions for those needs.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 02,The Personal Training Profession,SWOT analysis,"A professional development technique that helps individuals identify their personal strengths and weaknesses, opportunities for growth, and potential threats to success.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 02,The Personal Training Profession,Unique selling proposition (USP),Highlighting unique skills or traits during a sales presentation that allow an individual to stand out from the competition.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 02,The Personal Training Profession,Working the ﬂoor,A rapport-building technique where fitness professionals walk around the gym floor talking to members without overtly presenting a sale.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 03,Psychology of Exercise,Ambivalence,Describes a person’s state of mixed feelings about a situation.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 03,Psychology of Exercise,Body image,The way someone views their physical self or visualizes their body.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 03,Psychology of Exercise,Companionship support,When someone engages in a behavior with an individual. This type of support is often observed in an exercise setting where people exercise with a friend or partner.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 03,Psychology of Exercise,Emotional support,"The encouragement and positive reinforcement that is provided from an individual to another, which includes being caring, empathetic, and showing concern.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 03,Psychology of Exercise,Empathy,"The ability to identify with another person’s feelings, attitudes, or thoughts.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 03,Psychology of Exercise,Extrinsic motivation,When someone participates in an activity or behavior for some type of reward or recognition from others.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 03,Psychology of Exercise,Informational support,"Providing accurate, current, and informative information.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 03,Psychology of Exercise,Instrumental support,"The actions that directly facilitate a behavior to happen. In the context of exercise, instrumental support can include driving a person to a health club or paying for the gym membership.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 03,Psychology of Exercise,Intrinsic motivation,When people engage in an activity or behavior because they feel a sense of satisfaction.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 03,Psychology of Exercise,Outcome goals,Goals focused on the end result.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 03,Psychology of Exercise,Process goals,Refers to the process of goal pursuit.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 03,Psychology of Exercise,Self-esteem,"The way someone evaluates their own self-worth physically, emotionally, and socially.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 03,Psychology of Exercise,Sleep apnea,"A sleep disorder in which a person’s breathing repeatedly stops and starts, which disrupts the body’s natural sleep cycle.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 03,Psychology of Exercise,Social physique anxiety,A specific form of anxiety that occurs in individuals who perceive that others could be negatively evaluating their physique.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 03,Psychology of Exercise,Social support,The intentional ways that people assist others in achieving a specific behavior.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching, Implementation intentions,"A behavior change technique that links a goal-directed response to situational cues by specifying when, where, and how to act.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Action,The client has made specific modifications in their exercise routine within the past 6 months.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Active listening,Listening style that involves having genuine interest in what the speaker is saying; requires the listener to fully concentrate to understand the speaker’s message.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Affective judgment,Referring to expected pleasure or enjoyment.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Affirmations,Positive statements about character strengths.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Appearance imagery,When a person imagines appearance or healthrelated outcomes.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Attitudes,The degree to which a person has a favorable or unfavorable evaluation of the behavior of interest.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Autonomous motivation,"When motives for exercise relate to valuing the outcome, when exercise is consistent with the client’s identity, or when the client enjoys exercise.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Autonomy,Acting in accordance with how one wants to behave.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Behavior change techniques (BCTs),Client interventions that are used to change some determinant of behavior.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Change talk,Talk that reflects movement of the person toward behavior change.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Closed-ended questions,"Directive questions that can be answered with one word, typically a yes or no.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Cognitive fusion,When people believe the exact content of their own thoughts.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Collecting summaries,Short sentences that continue the client’s thoughts and add momentum to the conversation.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Contemplation,When a person is thinking about implementing change but has not yet taken any steps to get started; an individual may take action within the next 6 months.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Coping plans,A behavior change technique that involves anticipating barriers to goal action and proactively preparing strategies that prioritize intentional behavior over counterproductive habitual responses.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Decisional balance,Reflects the clients’ weighing of the pros and cons of changing.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Determinants of behavior,"Refers to the psychological, social, or environmental factors that influence behavior.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Energy imagery,When a person creates mental images that increase energy and/or relieve stress.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Imagery,The process created to produce internalized experiences.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Intention,A construct that captures motivational factors that influence behavior. It indicates how hard people are willing to try and how much effort they are planning to exert.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Linking summaries,"Summaries that tie together information the client has presented, perhaps even from previous sessions.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Maintenance,The client has been exercising for more than 6 months and is working to prevent relapse.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Motivational interviewing,"Client-centered, directive method for enhancing intrinsic motivation to change by exploring and resolving ambivalence.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Outcome expectations,The expected positive and negative consequences of a behavior.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Perceived behavioral control,"An evaluation of whether one has the means, resources, and opportunities to perform a behavior.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Planning,A concrete representation of when and where exercise will occur.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Precontemplation,Client does not exercise and is not planning to start exercising within 6 months.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Preparation,"The client intends to act in the near future, usually within the next month.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Psyching up,The process to get oneself into a state of psychological readiness for performance.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Reflective listening,The process of seeking to understand the meaning of the speaker’s words and restating the idea back to the speaker to confirm that they were understood correctly.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Reverse listing,Replacing negative statements with positive statements.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Self-determination theory,A broad theoretical framework for the study of human motivation.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Self-discrepancy,An internal conflict that occurs when an individual compares their actual self with their ideal self.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Self-efficacy,"One’s belief that they can complete a task, goal, or performance; also known as self-confidence.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Self-monitoring,"Observing, measuring, and evaluating one’s own behavior, often in the form of a diary or log.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Self-talk,"Internal dialogue in which the individual interprets feelings and perceptions, regulates and changes evaluations and convictions, and gives himself or herself instructions and reinforcement.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Stopping,The act of saying “stop” out loud to undesired statements.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Stress,The state of mental or emotional tension from demanding circumstances.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Subjective norms,Belief that an important person or group of people will approve and support a behavior.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Sustain talk,Talk that represents and predicts movement away from change.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Technique imagery,When individuals mentally rehearse their technique.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Third space,"A communal space, separate from home or work, where the client experiences their own sense of identity and relationship to others.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 04,Behavioral Coaching,Transitional summaries,Summaries used to wrap up a session or announce a shift in focus.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Acetylcholine (ACh),"A neurotransmitter that helps the action potential cross the synapse into the muscle, which initiates the steps in a muscle contraction.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Actin,"The thin, stringlike, myofilament that acts along with myosin to produce muscular contraction.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Action potential,"Nerve impulse that is relayed from the central nervous system, through the peripheral nervous system, and into the muscle across the neuromuscular junction.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Adenosine triphosphate (ATP),A high-energy molecule that serves as the main form of energy in the human body; known as the energy currency of the body.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Afferent pathway,Sensory pathway that relays information to the central nervous system.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",All-or-nothing principle,Motor units cannot vary the amount of force they generate; they either contract maximally or not at all.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Appendicular skeleton,"A division of the skeletal system consisting of the arms, legs, and pelvic girdle.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Arthrokinematics,"The description of joint surface movement; consists of three major types: roll, slide, and spin.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Autonomic nervous system,"A division of the peripheral nervous system that supplies neural input to organs that run the involuntary processes of the body (e.g., circulating blood, digesting food, producing hormones).",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Axial skeleton,"A division of the skeletal system consisting of the skull, the rib cage, and the vertebral column.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Capillaries,The smallest blood vessels and the site of exchange of elements between the blood and the tissues.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Central nervous system (CNS),A division of the nervous system that includes the brain and spinal cord.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Collagen,"A protein found in connective tissue, muscles, and skin that provides strength and structure. It is the most abundant protein in the human body.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Depressions,Flattened or indented portions of bone.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Effector sites,"A part of the body, such as a muscle or organ, that receives a signal from a neuron to produce a physiological response.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Efferent pathway,A motor pathway that relays information from the central nervous system to the rest of the body.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Elastin,"A protein that provides elasticity to skin, tendons, ligaments, and other structures.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Electrolytes,"Minerals that have an electrical charge to help transmit nerve impulses throughout the body, such as sodium, potassium, and magnesium.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Endomysium,Connective tissue that wraps around individual muscle fibers within a fascicle.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Epimysium,"Inner layer of fascia that directly surrounds an entire muscle, commonly referred to as the “deep fascia.”",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Excitation-contraction coupling,The physiological process of converting an electrical stimulus to a muscle contraction.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Fascia,Connective tissue that surrounds muscles and bones.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Fascicles,Largest bundles of fibers within a muscle. Fascicles are surrounded by perimysium.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Glycogen,"Glucose that is deposited and stored in bodily tissues, such as the liver and muscle cells; the storage form of carbohydrate.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Golgi tendon organ (GTO),A specialized sensory receptor located at the point where skeletal muscle fibers insert into the tendons of skeletal muscle; sensitive to changes in muscular tension and rate of tension change.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Growth plate,A specialized cartilage disc located in the epiphysis that is responsible for longitudinal bone growth.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Human movement system (HMS),"The collective components and structures that work together to move the body: muscular, skeletal, and nervous systems.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Integrative function,"The ability of the nervous system to analyze and interpret the sensory information to allow for proper decision-making, which produces an appropriate response.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Interneurons,Neurons located within the spinal cord and brain that transmit impulses between afferent and efferent neurons.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Intervertebral discs,Fibrous cartilage structures between vertebrae that act as shock absorbers and assist with movement.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Joint receptors,"Receptors located in and around the joint capsule that respond to pressure, acceleration, and deceleration of the joint.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Joints,The sites where two bones meet and movement occurs as a result of muscle contraction.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Kinetic chain,A concept that describes the human body as a chain of interdependent links that work together to perform movement.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Levers,Rigid rods where muscles attach.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Ligament,A fibrous connective tissue that connects bone to bone.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Mechanoreceptors,Specialized structures that respond to mechanical forces (touch and pressure) within tissues and then transmit signals through sensory nerves.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Mitochondria,The parts of the cell that use nutrients to create energy for the cell; commonly known as the powerhouses of the cell.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Motor function,The neuromuscular (or nervous and muscular systems) response to the integrated sensory information.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Motor skills,Specific movements through the coordinated effort of the sensory and motor subsystems.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Motor unit,A motor neuron and all of the muscle fibers that it innervates.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Muscle spindles,Sensory receptors sensitive to change in length of the muscle and the rate of that change.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Myofibrils,The contractile components of a muscle cell; the myofilaments (actin and myosin) are contained within a myofibril.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Myofilaments,The filaments of a myofibril; include actin and myosin.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Myoglobin,Protein-based molecule that carries oxygen molecules into the muscles.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Myosin,The thick myofilament that acts along with actin to produce muscular contraction.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Nervous system,"A network of specialized cells called neurons that transmit and coordinate signals, providing a communication network within the human body.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Neural activation,The nervous system’s signal that tells a muscle to contract.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Neurocircuitry,The interconnection of neurons in the brain and spinal cord.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Neuromuscular junction,The specialized site where the nervous system communicates directly with muscle fibers.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Neuron,Specialized cell that is the functional unit of the nervous system.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Neuroplasticity,"The concept that the brain will continually change or grow, reforming neural pathways throughout an individual’s entire life span.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Neurotransmitters,Chemical messengers that cross the synapse between neuron and muscle and assist with nerve transmission.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Neutral Spine,Represents a position in which the vertebrae and associated structures are under the least amount of load and can most optimally support functional movement.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Nonaxial,"A gliding joint that moves in only one plane, either back and forth or side to side.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Nonsynovial joints,"Joints that have no joint capsule, fibrous connective tissue, or cartilage in the uniting structure.",Vocab,NASM CPT
