source,topic,question,answer,type,cert,options
NASM Personal Fitness Training: Chapter 05,Chapter 05,"What is the correct order of fascia, starting with the most superficial?","Epimysium, perimysium, endomysium",Quiz,NASM CPT,"Epimysium, perimysium, endomysium|Endomysium, perimysium, epimysium|Perimysium, endomysium, epimysium|Epimysium, endomysium, perimysium"
NASM Personal Fitness Training: Chapter 05,Chapter 05,"What is the correct order of segments for the spine, starting at the top?","Cervical, thoracic, and lumbar",Quiz,NASM CPT,"Cervical, thoracic, and lumbar|Thoracic, cervical, and lumbar|Cervical, lumbar, and thoracic|Lumbar, cervical, and thoracic"
NASM Personal Fitness Training: Chapter 05,Chapter 05,"When a client's heart rate is raised during cardio activities, this is being caused by which system?",Sympathetic nervous system,Quiz,NASM CPT,Sympathetic nervous system|Parasympathetic nervous system|Somatic nervous system|Central nervous system
NASM Personal Fitness Training: Chapter 05,Chapter 05,"Which division of the skeleton is made up of the arms, legs, and pelvic girdle?",Appendicular,Quiz,NASM CPT,Appendicular|Axial|Lateral|Peripheral
NASM Personal Fitness Training: Chapter 05,Chapter 05,"Which joint has the simplest movement, moving either back and forth or side to side?",Nonaxial,Quiz,NASM CPT,Nonaxial|Synovial|Nonsynovial|Condyloid
NASM Personal Fitness Training: Chapter 05,Chapter 05,"Which joint is the most mobile, able to move in all three directions?",Ball-and-socket,Quiz,NASM CPT,Ball-and-socket|Pivot|Saddle|Hinge
NASM Personal Fitness Training: Chapter 05,Chapter 05,"Which mechanoreceptor is sensitive to changes in muscular tension and rate of that tension change, causing the muscle to relax, which prevents the muscle from excessive stress and possible injury?",Golgi tendon organs,Quiz,NASM CPT,Golgi tendon organs|Joint receptors|Muscle spindles|Interneurons
NASM Personal Fitness Training: Chapter 05,Chapter 05,"Which system puts the body into a relaxed state, termed rest and digest?",Parasympathetic nervous system,Quiz,NASM CPT,Parasympathetic nervous system|Sympathetic nervous system|Somatic nervous system|Central nervous system
NASM Personal Fitness Training: Chapter 05,Chapter 05,"Which term describes the movement of bones, such as flexion and extension?",Osteokinematics,Quiz,NASM CPT,Osteokinematics|Arthrokinematics|Osteoporosis|Arthropathy
NASM Personal Fitness Training: Chapter 05,Chapter 05,"Which type of muscle fiber is predominantly used during movements that require high levels of force and power, such as a sprint?",Type II,Quiz,NASM CPT,Type II|Type I|Type III|Type Ia
NASM Personal Fitness Training: Chapter 05,Chapter 05,A person walks differently when they move from a sidewalk onto the sand. This is regulated by what function?,Motor function,Quiz,NASM CPT,Motor function|Muscle function|Neuroplasticity|Wolff's law
NASM Personal Fitness Training: Chapter 05,Chapter 05,At what age is total peak bone mass reached?,30,Quiz,NASM CPT,30|18|25|35
NASM Personal Fitness Training: Chapter 05,Chapter 05,One of the two interdependent divisions of the nervous system is the central nervous system. What is the second division?,Peripheral nervous system,Quiz,NASM CPT,Peripheral nervous system|Autonomic nervous system|Somatic nervous system|Sympathetic nervous system
NASM Personal Fitness Training: Chapter 05,Chapter 05,Weight-bearing exercise helps strengthen bones through what process?,Remodeling,Quiz,NASM CPT,Remodeling|Lengthening|Osteoporosis|Neuroplasticity
NASM Personal Fitness Training: Chapter 05,Chapter 05,What are the three types of muscles in the body?,"Skeletal, cardiac, and smooth",Quiz,NASM CPT,"Skeletal, cardiac, and smooth|Actin, myosin, and sarcomere|Somatic, autonomic, and peripheral|Cervical, thoracic, and lumbar"
NASM Personal Fitness Training: Chapter 05,Chapter 05,What are the two components of a sarcomere?,Actin and myosin,Quiz,NASM CPT,Actin and myosin|Epimysium and endomysium|Tropomyosin and troponin|Muscle fiber and muscle cell
NASM Personal Fitness Training: Chapter 05,Chapter 05,What are the two components of the central nervous system?,The brain and spinal cord,Quiz,NASM CPT,The brain and spinal cord|The nerves and sensory receptors|The somatic and autonomic nervous systems|The sympathetic and parasympathetic nervous systems
NASM Personal Fitness Training: Chapter 05,Chapter 05,What are the two divisions of the skeletal system?,Axial and appendicular,Quiz,NASM CPT,Axial and appendicular|Upper and lower|Anterior and posterior|Osteoclasts and osteoblasts
NASM Personal Fitness Training: Chapter 05,Chapter 05,What best describes the all-or-nothing principle?,A motor unit will either contract maximally or not at all.,Quiz,NASM CPT,"A motor unit will either contract maximally or not at all.|All muscle fibers contract, or none at all do.|The switch from type I to type II muscle fibers|The switch from type IIa to type IIx muscle fibers"
NASM Personal Fitness Training: Chapter 05,Chapter 05,What is a characteristic of a type I muscle fiber?,Less force production,Quiz,NASM CPT,Less force production|Larger in size|Quick to fatigue|Fewer capillaries
NASM Personal Fitness Training: Chapter 05,Chapter 05,What is a characteristic of a type II muscle fiber?,Short-term contractions,Quiz,NASM CPT,Short-term contractions|Increased oxygen delivery|Slow to fatigue|Smaller in size
NASM Personal Fitness Training: Chapter 05,Chapter 05,What is explained by the sliding filament theory?,The shortening of a sarcomere to produce a muscle contraction,Quiz,NASM CPT,The shortening of a sarcomere to produce a muscle contraction|The lengthening of a sarcomere after a muscle contraction|The actin pulling the myosin toward the center of the sarcomere|The Z-lines moving farther apart
NASM Personal Fitness Training: Chapter 05,Chapter 05,What is the concept that describes the human body as a chain of interdependent links that work together to perform movement?,Kinetic chain,Quiz,NASM CPT,Kinetic chain|Golgi tendon organ|Nervous system|Proprioception
NASM Personal Fitness Training: Chapter 05,Chapter 05,What is the fibrous tissue that connects bone to bone?,Ligament,Quiz,NASM CPT,Ligament|Collagen|Tendon|Elastin
NASM Personal Fitness Training: Chapter 05,Chapter 05,What is the function of the neuromuscular junction?,The site where the nervous system and muscle fibers communicate,Quiz,NASM CPT,The site where the nervous system and muscle fibers communicate|The site of muscular contractions|The sliding filament theory|Exposing actin-binding sites
NASM Personal Fitness Training: Chapter 05,Chapter 05,What is the name of the specialized cell that is the functional unit of the nervous system?,Neuron,Quiz,NASM CPT,Neuron|Axon|Nucleus|Spindles
NASM Personal Fitness Training: Chapter 05,Chapter 05,What is the purpose of the intervertebral discs?,They act as shock absorbers.,Quiz,NASM CPT,They act as shock absorbers.|They minimize movement of the spine.|They support most of the body's weight and are attached to many back muscles.|They provide support for the head.
NASM Personal Fitness Training: Chapter 05,Chapter 05,What surrounds the skeletal muscles and connects them to other surrounding muscles?,Fascia,Quiz,NASM CPT,Fascia|Connective tissues|Tendons|Muscle spindles
NASM Personal Fitness Training: Chapter 05,Chapter 05,Which characteristic is exhibited by type I muscle fibers?,Slow to fatigue,Quiz,NASM CPT,Slow to fatigue|Decreased oxygen delivery|Short-term contractions|Fewer capillaries
NASM Personal Fitness Training: Chapter 05,Chapter 05,Which joints are most associated with human movement?,Synovial,Quiz,NASM CPT,Synovial|Nonaxial|Saddle|Nonsynovial
NASM Personal Fitness Training: Chapter 05,Chapter 05,Which of the following protein structures is important for muscular contractions by providing a binding site?,Troponin,Quiz,NASM CPT,Troponin|Actin|Myosin|Fascicles
NASM Personal Fitness Training: Chapter 05,Chapter 05,Which of these is one of the major curvatures of the spine from a posterior view?,Concave lumbar curve,Quiz,NASM CPT,"Concave lumbar curve |Convex lumbar curve |Convex cervical curve |Concave thoracic curve"
NASM Personal Fitness Training: Chapter 05,Chapter 05,Which part of a cell is responsible for using nutrients to create energy for the cell?,Mitochondria,Quiz,NASM CPT,Mitochondria|Organelles|Effector sites|Electrolytes
NASM Personal Fitness Training: Chapter 05,Chapter 05,Which system supplies neural input to organs that run the involuntary processes of the body?,Autonomic nervous system,Quiz,NASM CPT,Autonomic nervous system|Somatic nervous system|Mechanoreceptors|The brain
NASM Personal Fitness Training: Chapter 05,Chapter 05,Which type of joint includes the sutures of the skull?,Nonsynovial,Quiz,NASM CPT,Nonsynovial|Ball-and-socket|Pivot|Condyloid
NASM Personal Fitness Training: Chapter 06,Chapter 06,"Which of the following hormones, if increased at baseline, may be indicative of overtraining?",Cortisol,Quiz,NASM CPT,Cortisol|Testosterone|Growth hormone|Thyroxin
NASM Personal Fitness Training: Chapter 06,Chapter 06,Food in the stomach is processed and then passes into what anatomical structure?,Duodenum of the small intestine,Quiz,NASM CPT,Duodenum of the small intestine|Duodenum of the large intestine|The ileum of the small intestine|The ileum of the large intestine
NASM Personal Fitness Training: Chapter 06,Chapter 06,The cardiovascular and respiratory systems work together to provide the body with what gas?,Oxygen,Quiz,NASM CPT,Oxygen|Carbon dioxide|Water|Platelets
NASM Personal Fitness Training: Chapter 06,Chapter 06,The pancreas secretes which of the following hormones?,Insulin,Quiz,NASM CPT,Insulin|Growth hormone|Testosterone|Insulin-like growth factor
NASM Personal Fitness Training: Chapter 06,Chapter 06,What advice would enable a client to breathe properly?,Sit upright and slowly breathe in through your nose while allowing your stomach to expand.,Quiz,NASM CPT,Sit upright and slowly breathe in through your nose while allowing your stomach to expand.|Sit upright and slowly breathe in through your mouth while allowing your chest to expand.|Sit with an increased kyphosis and slowly breathe in through your nose while allowing your stomach to expand.|Sit with an increased kyphosis and slowly breathe in through your nose while minimizing abdominal movement.
NASM Personal Fitness Training: Chapter 06,Chapter 06,What change would lead to an increase in cardiac output during exercise?,Increased heart rate,Quiz,NASM CPT,Increased heart rate|Decreased heart rate|Decreased stroke volume|Increased end-systolic volume
NASM Personal Fitness Training: Chapter 06,Chapter 06,What component of breathing improves blood flow back to the heart?,Inspiration with a decrease in intrathoracic pressure,Quiz,NASM CPT,Inspiration with a decrease in intrathoracic pressure|Inspiration with an increase in intrathoracic pressure|Expiration with an increase in intrathoracic pressure|Expiration with a decrease in intrathoracic pressure
NASM Personal Fitness Training: Chapter 06,Chapter 06,What is cardiac output?,The volume of blood pumped by the heart per minute,Quiz,NASM CPT,The volume of blood pumped by the heart per minute|The volume of blood pumped by the heart per beat or contraction|The amount of blood in the ventricle before contraction|The amount of blood remaining in the ventricle after contraction
NASM Personal Fitness Training: Chapter 06,Chapter 06,What is end-diastolic volume?,The amount of blood in the ventricle before contraction,Quiz,NASM CPT,The amount of blood in the ventricle before contraction|The volume of blood pumped by the heart per minute|The amount of blood pumped out of the heart with each contraction|The amount of blood remaining in the ventricle after contraction
NASM Personal Fitness Training: Chapter 06,Chapter 06,What is the primary muscle type of the heart?,Cardiac,Quiz,NASM CPT,Cardiac|Skeletal|Smooth|Myofibril
NASM Personal Fitness Training: Chapter 06,Chapter 06,What mechanism is responsible for increasing the rate of heart conduction?,Activation of the sympathetic nervous system,Quiz,NASM CPT,Activation of the sympathetic nervous system|Activation of the parasympathetic nervous system|Activation of the intercalated discs|Activation of sarcomeres
NASM Personal Fitness Training: Chapter 06,Chapter 06,What structure in the heart transfers the electrical signal from the sinoatrial (SA) node to the atrioventricular (AV) node?,Internodal pathway,Quiz,NASM CPT,Internodal pathway|Intercalated discs|Right bundle branch|Left bundle branch
NASM Personal Fitness Training: Chapter 06,Chapter 06,Where in the digestive system are most fluids absorbed?,Small intestine,Quiz,NASM CPT,Small intestine|Large intestine|Stomach|Esophagus
NASM Personal Fitness Training: Chapter 06,Chapter 06,Which heart chamber gathers deoxygenated blood returning to the heart from the superior and inferior vena cava veins?,Right atrium,Quiz,NASM CPT,Right atrium|Left atrium|Left ventricle|Right ventricle
NASM Personal Fitness Training: Chapter 06,Chapter 06,Which heart chamber gathers oxygenated blood coming to the heart from the lungs?,Left atrium,Quiz,NASM CPT,Left atrium|Right atrium|Left ventricle|Pulmonary veins
NASM Personal Fitness Training: Chapter 06,Chapter 06,Which of the following blood pressure values would be classified as normal according to the American Heart Association?,Systolic <120 and diastolic <80,Quiz,NASM CPT,Systolic <120 and diastolic <80|Systolic 120 to 129 and diastolic <80|Systolic 130 to 139 or diastolic 80 to 89|Systolic >180 and/or diastolic >120
NASM Personal Fitness Training: Chapter 06,Chapter 06,Which of the following effects may be experienced with overtraining?,"High levels of cortisol, which lead to a catabolic environment",Quiz,NASM CPT,"High levels of cortisol, which lead to a catabolic environment|Elevated levels of cortisol, which lead to an anabolic environment|Lower levels of cortisol, which lead to an anabolic environment|Low levels of cortisol, which lead to an environment that is anabolic"
NASM Personal Fitness Training: Chapter 06,Chapter 06,Which of the following exercises would be most likely to contribute to an acute increase in testosterone levels?,Back squat,Quiz,NASM CPT,Back squat|Bench press|Triceps extension|Calf raise
NASM Personal Fitness Training: Chapter 06,Chapter 06,Which of the following hormones have an anabolic function and have been shown to increase up to 48 hours following resistance training?,Insulin-like growth factor (IGF),Quiz,NASM CPT,Insulin-like growth factor (IGF)|Glucagon|Cortisol|Calcitonin
NASM Personal Fitness Training: Chapter 07,Chapter 07,"During normal walking, the pelvis rotates in what plane to facilitate the necessary momentum for the swing phase?",Transverse,Quiz,NASM CPT,Transverse|Axial|Sagittal|Frontal
NASM Personal Fitness Training: Chapter 07,Chapter 07,"Which type of exercise accommodates effort whereby the harder the individual pushes or pulls, the more resistance they feel, despite the movement speed remaining constant?",Isokinetic,Quiz,NASM CPT,Isokinetic|Concentric|Eccentric|Isometric
NASM Personal Fitness Training: Chapter 07,Chapter 07,How should an eccentric muscle action be described?,The development of muscle tension during lengthening of the contractile tissue,Quiz,NASM CPT,The development of muscle tension during lengthening of the contractile tissue|The development of muscle tension during shortening of the contractile tissue|The development of muscle tension at a fixed speed during both shortening and lengthening of the contractile tissue|The development of muscle tension without shortening or lengthening of the contractile tissue
NASM Personal Fitness Training: Chapter 07,Chapter 07,In what plane of movement do shoulder horizontal adduction and abduction occur?,Transverse,Quiz,NASM CPT,Transverse|Frontal|Sagittal|Dorsal
NASM Personal Fitness Training: Chapter 07,Chapter 07,Movements that take place within a joint and are not visible to the human eye may be classified in what way?,Arthrokinematic,Quiz,NASM CPT,Arthrokinematic|Osteokinematic|Anterior|Posterior
NASM Personal Fitness Training: Chapter 07,Chapter 07,Overactive hip flexors may lead to which of the following postural compensations?,Anterior tilting of the pelvis and an increased low-back arch,Quiz,NASM CPT,Anterior tilting of the pelvis and an increased low-back arch|Anterior tilting of the pelvis and a decreased low-back arch|Posterior tilting of the pelvis and an increased low-back arch|Posterior tilting of the pelvis and a decreased low-back arch
NASM Personal Fitness Training: Chapter 07,Chapter 07,Pronation of the foot describes what multiplanar movements?,"Eversion, dorsiflexion, and ankle abduction",Quiz,NASM CPT,"Eversion, dorsiflexion, and ankle abduction|Inversion, dorsiflexion, and ankle adduction|Eversion, dorsiflexion, and ankle adduction|Eversion, plantar flexion, and ankle abduction"
NASM Personal Fitness Training: Chapter 07,Chapter 07,Stored energy from an efficiently functioning stretch-shortening cycle is released during which muscle action?,Concentric,Quiz,NASM CPT,Concentric|Eccentric|Isokinetic|Isometric
NASM Personal Fitness Training: Chapter 07,Chapter 07,What is the anatomical term that describes something positioned above an identified reference point?,Superior,Quiz,NASM CPT,Superior|Inferior|Anterior|Posterior
NASM Personal Fitness Training: Chapter 07,Chapter 07,What is the anatomical term that describes something positioned on the opposite side of the body?,Contralateral,Quiz,NASM CPT,Contralateral|Ipsilateral|Lateral|Posterior
NASM Personal Fitness Training: Chapter 07,Chapter 07,What is the most accurate description of motor control?,The ability to initiate and correct purposeful controlled movements,Quiz,NASM CPT,"The ability to initiate and correct purposeful controlled movements|The integration of motor control processes through practice|The cumulative changes in motor behavior over time, throughout the life span|The motor response to internal and external environmental stimuli"
NASM Personal Fitness Training: Chapter 07,Chapter 07,What measurement is dependent upon the length of the lever arm and the angle between the force application and the lever arm?,Torque,Quiz,NASM CPT,Torque|Force|Arthrokinematics|Force velocity
NASM Personal Fitness Training: Chapter 07,Chapter 07,What scientific term is used to describe the concept whereby a loaded eccentric contraction prepares the muscles for a rapid concentric contraction?,Stretch-shortening cycle,Quiz,NASM CPT,Stretch-shortening cycle|Series elastic component|Reciprocal inhibition|Altered reciprocal inhibition
NASM Personal Fitness Training: Chapter 07,Chapter 07,What type of lever could be described as having a fulcrum in the middle like a seesaw?,First class,Quiz,NASM CPT,First class|Second class|Third class|Fourth class
NASM Personal Fitness Training: Chapter 07,Chapter 07,Which of the following examples describes a muscle that is functioning as an antagonist?,The biceps brachii being active during elbow extension,Quiz,NASM CPT,The biceps brachii being active during elbow extension|The serratus anterior being active during shoulder flexion|The infraspinatus being active during shoulder external rotation|The transversus abdominus being active during hip extension
NASM Personal Fitness Training: Chapter 07,Chapter 07,Which of the following muscle groups work both eccentrically and concentrically in the sagittal plane during a squat?,Quadriceps,Quiz,NASM CPT,Quadriceps|Adductor longus|Gluteus medius|Biceps brachii
NASM Personal Fitness Training: Chapter 07,Chapter 07,Which of the following statements would be accurate with regard to muscle force and velocity during an eccentric muscle action?,As the contraction velocity increases the ability to develop force also increases.,Quiz,NASM CPT,"As the contraction velocity increases the ability to develop force also increases.|As the contraction velocity increases, the ability to develop force decreases.|As the contraction velocity decreases, the ability to develop force increases.|As the contraction velocity decreases, the force remains constant."
NASM Personal Fitness Training: Chapter 08,Chapter 08,"A client plans to go for a 10-mile run, but they become fatigued after 7 miles, so they stop. What is the most likely cause of this fatigue?",Glycogen stores were exhausted.,Quiz,NASM CPT,Glycogen stores were exhausted.|Fatty acid stores were exhausted.|Phosphocreatine was depleted.|ADP was depleted.
NASM Personal Fitness Training: Chapter 08,Chapter 08,"Before amino acids can be used to make ATP, what process do they have to go through?",Gluconeogenesis,Quiz,NASM CPT,Gluconeogenesis|Glycolysis|Oxidative phosphorylation|Oxidation
NASM Personal Fitness Training: Chapter 08,Chapter 08,"Before carbohydrates, fat, or protein can enter the citric acid cycle (CAC), they need to be converted to what common molecule?",Acetyl CoA,Quiz,NASM CPT,Acetyl CoA|ATP|Pyruvate|Amino acids
NASM Personal Fitness Training: Chapter 08,Chapter 08,"If pyruvate is being created via glycolysis faster than oxygen can be delivered to the muscle, what will happen to the pyruvate?",The pyruvate will be converted to lactate.,Quiz,NASM CPT,The pyruvate will be converted to lactate.|The pyruvate will be oxidized via oxidative phosphorylation.|The pyruvate will be stored in the muscle.|The pyruvate will be converted to acetyl CoA.
NASM Personal Fitness Training: Chapter 08,Chapter 08,"If someone went out for a 5-mile jog with their friend, which energy system would provide most of the ATP for this activity?",Oxidative phosphorylation,Quiz,NASM CPT,Oxidative phosphorylation|Glycolysis|The ATP-PC system|Beta-oxidation
NASM Personal Fitness Training: Chapter 08,Chapter 08,"If someone were performing repeated sprints with each sprint lasting between 30 and 90 seconds, which energy system would be contributing the most to ATP production during this activity?",Glycolysis,Quiz,NASM CPT,Glycolysis|The ATP-PC system|Oxidative phosphorylation|The electron transport chain
NASM Personal Fitness Training: Chapter 08,Chapter 08,"When a person loses body weight, what is the only way that mass is lost?",As exhaled carbon dioxide,Quiz,NASM CPT,As exhaled carbon dioxide|As water|As ATP|As exhaled oxygen
NASM Personal Fitness Training: Chapter 08,Chapter 08,Food is composed of which three compounds?,"Carbohydrates, fats, and proteins",Quiz,NASM CPT,"Carbohydrates, fats, and proteins|ATP, glucose, and pyruvate|Ketones, insulin, and ADP|Amino acids, ATP, and glycogen"
NASM Personal Fitness Training: Chapter 08,Chapter 08,What are essential amino acids?,Amino acids that must be consumed because they cannot be created by the body,Quiz,NASM CPT,Amino acids that must be consumed because they cannot be created by the body|Amino acids that can be synthesized by the body|Amino acids responsible for protein synthesis|The only type of amino acid found in protein sources
NASM Personal Fitness Training: Chapter 08,Chapter 08,What are the building blocks of body proteins?,Amino acids,Quiz,NASM CPT,Amino acids|Triglycerides|Glucose|Ketone bodies
NASM Personal Fitness Training: Chapter 08,Chapter 08,What are triglycerides?,The stored form of fat,Quiz,NASM CPT,"The stored form of fat |A substrate for high-intensity exercise |The stored form of carbohydrate |A substrate for anaerobic exercise"
NASM Personal Fitness Training: Chapter 08,Chapter 08,What does the electron transport chain (ETC) do?,The ETC uses a hydrogen gradient to create ATP.,Quiz,NASM CPT,The ETC uses a hydrogen gradient to create ATP.|The ETC uses an oxygen gradient to create ATP.|The ETC uses proteins to create ADP.|The ETC uses proteins to create hydrogen ions.
NASM Personal Fitness Training: Chapter 08,Chapter 08,What is a kilocalorie (kcal)?,The amount of energy needed to raise 1 kilogram of water by 1 degree Celsius. It is also the same thing as 1 food calorie.,Quiz,NASM CPT,"The amount of energy needed to raise 1 kilogram of water by 1 degree Celsius. It is also the same thing as 1 food calorie. |Unlike 1 food calorie, this is the amount of energy needed to raise 1 kilogram of water by 1 degree Celsius. |The amount of energy needed to raise 1 pound of water by 1 degree Celsius. It is also the same thing as 1 food calorie. |The amount of energy needed to raise 1 kilogram of water by 1 degree Celsius. It is equal to 1,000 food calories."
NASM Personal Fitness Training: Chapter 08,Chapter 08,What is bioenergetics?,The study of the ways in which food is turned into energy,Quiz,NASM CPT,The study of the ways in which food is turned into energy|The study of metabolism during exercise|The study of weight loss|The study of aerobic metabolism
NASM Personal Fitness Training: Chapter 08,Chapter 08,What is defined as steady-state exercise?,Aerobic exercise performed at a constant intensity,Quiz,NASM CPT,Aerobic exercise performed at a constant intensity|Exercise that goes on for a long time|Exercise performed for a short duration of time|Exercise that burns a lot of calories
NASM Personal Fitness Training: Chapter 08,Chapter 08,What is excess postexercise oxygen consumption (EPOC)?,EPOC is the increase in aerobic metabolism above baseline that occurs for a period after exercise.,Quiz,NASM CPT,EPOC is the increase in aerobic metabolism above baseline that occurs for a period after exercise.|EPOC is the faster rate of glycolysis that occurs after exercise.|EPOC is the increase in breathing rate that occurs during rest periods between exercise intervals.|EPOC is the increase in protein breakdown that occurs after exercise.
NASM Personal Fitness Training: Chapter 08,Chapter 08,What is the definition of energy balance?,When daily food intake is matched to energy needs,Quiz,NASM CPT,When daily food intake is matched to energy needs|When protein intake is higher than protein breakdown|When carbohydrates are consumed before a workout|When daily food intake is consistent
NASM Personal Fitness Training: Chapter 08,Chapter 08,What is the name of the stored form of glucose?,Glycogen,Quiz,NASM CPT,Glycogen|Pyruvate|Glycolysis|Triglycerides
NASM Personal Fitness Training: Chapter 08,Chapter 08,What is the resting metabolic rate (RMR)?,RMR is the number of calories that the body uses at rest to function.,Quiz,NASM CPT,RMR is the number of calories that the body uses at rest to function.|RMR is the number of calories burned after exercise.|RMR is the number of calories burned through digestion.|RMR is the number of calories burned through fidgeting.
NASM Personal Fitness Training: Chapter 08,Chapter 08,What is the ventilatory threshold 1 (VT1)?,The point at which the body switches to using carbohydrates to provide at least half the fuel for exercise,Quiz,NASM CPT,The point at which the body switches to using carbohydrates to provide at least half the fuel for exercise|The point at which the body switches to using mostly fat as fuel for exercise|The point at which the body uses mostly protein as fuel for exercise|The point at which a person can no longer talk during exercise
NASM Personal Fitness Training: Chapter 08,Chapter 08,What two factors define any form or type of exercise?,Intensity and duration,Quiz,NASM CPT,Intensity and duration|Duration and time|Intensity and speed|Speed and complexity
NASM Personal Fitness Training: Chapter 08,Chapter 08,Which nutrient has the highest thermic effect?,Protein,Quiz,NASM CPT,Protein|Fat|Carbohydrate|Glycogen
NASM Personal Fitness Training: Chapter 08,Chapter 08,Which of the following components of total daily energy expenditure (TDEE) is responsible for the most energy expenditure throughout the day?,Resting metabolic rate (RMR),Quiz,NASM CPT,"Resting metabolic rate (RMR) |Thermic effect of food (TEF) |Exercise activity thermogenesis (EAT) |Nonexercise activity thermogenesis (NEAT)"
NASM Personal Fitness Training: Chapter 08,Chapter 08,Which of the following is a ketone body?,Acetoacetic acid,Quiz,NASM CPT,Acetoacetic acid|Glycogen|Pyruvate|Lactic acid
NASM Personal Fitness Training: Chapter 08,Chapter 08,Which of the following is a limiting factor for how long anaerobic glycolysis can proceed?,Free hydrogen ions,Quiz,NASM CPT,Free hydrogen ions|Lack of fatty acids|Depletion of phosphocreatine|Lack of pyruvate
NASM Personal Fitness Training: Chapter 08,Chapter 08,Which of the following would make a person better at oxidizing fat?,Having more mitochondria in their muscle,Quiz,NASM CPT,Having more mitochondria in their muscle|Having more fat stored on their body|Having less oxygen delivery to the muscle|Having more glycogen stored in their muscle
NASM Personal Fitness Training: Chapter 08,Chapter 08,Why is nonexercise activity thermogenesis (NEAT) important?,NEAT can be protective against obesity.,Quiz,NASM CPT,NEAT can be protective against obesity.|NEAT can increase cardiorespiratory fitness.|NEAT can increase muscle mass.|NEAT can decrease the resting metabolic rate.
NASM Personal Fitness Training: Chapter 09,Chapter 09,"A client asks you to provide her with a meal plan specifying how many calories and grams of protein, carbohydrates, and fat she should eat for weight loss. What is the best way to respond to her request to stay within scope of practice?","Explain that providing specific nutrient recommendations is outside your scope of practice, and then refer the client to a registered dietitian or licensed nutritionist for nutrition counseling.",Quiz,NASM CPT,"Explain that providing specific nutrient recommendations is outside your scope of practice, and then refer the client to a registered dietitian or licensed nutritionist for nutrition counseling.|Agree to review her diet and provide her with a meal plan with specific recommendations for calories and macronutrients.|Provide her with an online 1,200-calorie meal plan for weight loss.|Explain that providing specific nutrient recommendations is outside your scope of practice, then suggest that she look up weight-loss meal plans on the internet."
NASM Personal Fitness Training: Chapter 09,Chapter 09,"A client looking to add muscle and bulk over the next few months asks for advice on how to consume extra calories. Which of the following would be the most appropriate advice, while remaining within scope of practice?",Suggest she increase meal frequency and portion sizes at meals.,Quiz,NASM CPT,"Suggest she increase meal frequency and portion sizes at meals.|Recommend she eat high-calorie ""cheat meals"" more often.|Suggest she increase consumption of high-calorie foods such as ice cream, pizza, and cake.|Recommend she increase only her protein intake at every meal."
